point_1	118.236875 39.7125
point_2	118.294792 39.7125
point_3	118.352708 39.7125
point_4	118.410625 39.7125
point_5	117.889375 39.6675
point_6	117.947292 39.6675
point_7	118.005208 39.6675
point_8	118.063125 39.6675
point_9	118.121042 39.6675
point_10	118.178958 39.6675
point_11	118.236875 39.6675
point_12	118.294792 39.6675
point_13	118.352708 39.6675
point_14	118.410625 39.6675
point_15	117.599792 39.6225
point_16	117.657708 39.6225
point_17	117.715625 39.6225
point_18	117.773542 39.6225
point_19	117.831458 39.6225
point_20	117.889375 39.6225
point_21	117.947292 39.6225
point_22	118.005208 39.6225
point_23	118.063125 39.6225
point_24	118.121042 39.6225
point_25	118.178958 39.6225
point_26	118.236875 39.6225
point_27	118.294792 39.6225
point_28	118.352708 39.6225
point_29	118.410625 39.6225
point_30	117.426042 39.5775
point_31	117.483958 39.5775
point_32	117.541875 39.5775
point_33	117.599792 39.5775
point_34	117.657708 39.5775
point_35	117.715625 39.5775
point_36	117.773542 39.5775
point_37	117.831458 39.5775
point_38	117.889375 39.5775
point_39	117.947292 39.5775
point_40	118.005208 39.5775
point_41	118.063125 39.5775
point_42	118.121042 39.5775
point_43	118.178958 39.5775
point_44	118.236875 39.5775
point_45	118.294792 39.5775
point_46	118.352708 39.5775
point_47	118.410625 39.5775
point_48	117.310208 39.5325
point_49	117.368125 39.5325
point_50	117.426042 39.5325
point_51	117.483958 39.5325
point_52	117.541875 39.5325
point_53	117.599792 39.5325
point_54	117.657708 39.5325
point_55	117.715625 39.5325
point_56	117.773542 39.5325
point_57	117.831458 39.5325
point_58	117.889375 39.5325
point_59	117.947292 39.5325
point_60	118.005208 39.5325
point_61	118.063125 39.5325
point_62	118.121042 39.5325
point_63	118.178958 39.5325
point_64	118.236875 39.5325
point_65	118.294792 39.5325
point_66	118.352708 39.5325
point_67	118.410625 39.5325
point_68	117.020625 39.4875
point_69	117.078542 39.4875
point_70	117.136458 39.4875
point_71	117.194375 39.4875
point_72	117.252292 39.4875
point_73	117.310208 39.4875
point_74	117.368125 39.4875
point_75	117.426042 39.4875
point_76	117.483958 39.4875
point_77	117.541875 39.4875
point_78	117.599792 39.4875
point_79	117.657708 39.4875
point_80	117.715625 39.4875
point_81	117.773542 39.4875
point_82	117.831458 39.4875
point_83	117.889375 39.4875
point_84	117.947292 39.4875
point_85	118.005208 39.4875
point_86	118.063125 39.4875
point_87	118.121042 39.4875
point_88	118.178958 39.4875
point_89	118.236875 39.4875
point_90	118.294792 39.4875
point_91	118.352708 39.4875
point_92	118.410625 39.4875
point_93	116.731042 39.4425
point_94	116.788958 39.4425
point_95	116.846875 39.4425
point_96	116.904792 39.4425
point_97	116.962708 39.4425
point_98	117.020625 39.4425
point_99	117.078542 39.4425
point_100	117.136458 39.4425
point_101	117.194375 39.4425
point_102	117.252292 39.4425
point_103	117.310208 39.4425
point_104	117.368125 39.4425
point_105	117.426042 39.4425
point_106	117.483958 39.4425
point_107	117.541875 39.4425
point_108	117.599792 39.4425
point_109	117.657708 39.4425
point_110	117.715625 39.4425
point_111	117.773542 39.4425
point_112	117.831458 39.4425
point_113	117.889375 39.4425
point_114	117.947292 39.4425
point_115	118.005208 39.4425
point_116	118.063125 39.4425
point_117	118.121042 39.4425
point_118	118.178958 39.4425
point_119	118.236875 39.4425
point_120	118.294792 39.4425
point_121	118.352708 39.4425
point_122	118.410625 39.4425
point_123	116.441458 39.3975
point_124	116.499375 39.3975
point_125	116.557292 39.3975
point_126	116.615208 39.3975
point_127	116.673125 39.3975
point_128	116.731042 39.3975
point_129	116.788958 39.3975
point_130	116.846875 39.3975
point_131	116.904792 39.3975
point_132	116.962708 39.3975
point_133	117.020625 39.3975
point_134	117.078542 39.3975
point_135	117.136458 39.3975
point_136	117.194375 39.3975
point_137	117.252292 39.3975
point_138	117.310208 39.3975
point_139	117.368125 39.3975
point_140	117.426042 39.3975
point_141	117.483958 39.3975
point_142	117.541875 39.3975
point_143	117.599792 39.3975
point_144	117.657708 39.3975
point_145	117.715625 39.3975
point_146	117.773542 39.3975
point_147	117.831458 39.3975
point_148	117.889375 39.3975
point_149	117.947292 39.3975
point_150	118.005208 39.3975
point_151	118.063125 39.3975
point_152	118.121042 39.3975
point_153	118.178958 39.3975
point_154	118.236875 39.3975
point_155	118.294792 39.3975
point_156	118.352708 39.3975
point_157	118.410625 39.3975
point_158	118.468542 39.3975
point_159	116.499375 39.3525
point_160	116.557292 39.3525
point_161	116.615208 39.3525
point_162	116.673125 39.3525
point_163	116.731042 39.3525
point_164	116.788958 39.3525
point_165	116.846875 39.3525
point_166	116.904792 39.3525
point_167	116.962708 39.3525
point_168	117.020625 39.3525
point_169	117.078542 39.3525
point_170	117.136458 39.3525
point_171	117.194375 39.3525
point_172	117.252292 39.3525
point_173	117.310208 39.3525
point_174	117.368125 39.3525
point_175	117.426042 39.3525
point_176	117.483958 39.3525
point_177	117.541875 39.3525
point_178	117.599792 39.3525
point_179	117.657708 39.3525
point_180	117.715625 39.3525
point_181	117.773542 39.3525
point_182	117.831458 39.3525
point_183	117.889375 39.3525
point_184	117.947292 39.3525
point_185	118.005208 39.3525
point_186	118.063125 39.3525
point_187	118.121042 39.3525
point_188	118.178958 39.3525
point_189	118.236875 39.3525
point_190	118.294792 39.3525
point_191	118.352708 39.3525
point_192	118.410625 39.3525
point_193	118.468542 39.3525
point_194	116.499375 39.3075
point_195	116.557292 39.3075
point_196	116.615208 39.3075
point_197	116.673125 39.3075
point_198	116.731042 39.3075
point_199	116.788958 39.3075
point_200	116.846875 39.3075
point_201	116.904792 39.3075
point_202	116.962708 39.3075
point_203	117.020625 39.3075
point_204	117.078542 39.3075
point_205	117.136458 39.3075
point_206	117.194375 39.3075
point_207	117.252292 39.3075
point_208	117.310208 39.3075
point_209	117.368125 39.3075
point_210	117.426042 39.3075
point_211	117.483958 39.3075
point_212	117.541875 39.3075
point_213	117.599792 39.3075
point_214	117.657708 39.3075
point_215	117.715625 39.3075
point_216	117.773542 39.3075
point_217	117.831458 39.3075
point_218	117.889375 39.3075
point_219	117.947292 39.3075
point_220	118.005208 39.3075
point_221	118.063125 39.3075
point_222	118.121042 39.3075
point_223	118.178958 39.3075
point_224	118.236875 39.3075
point_225	118.294792 39.3075
point_226	118.352708 39.3075
point_227	118.410625 39.3075
point_228	118.468542 39.3075
point_229	116.499375 39.2625
point_230	116.557292 39.2625
point_231	116.615208 39.2625
point_232	116.673125 39.2625
point_233	116.731042 39.2625
point_234	116.788958 39.2625
point_235	116.846875 39.2625
point_236	116.904792 39.2625
point_237	116.962708 39.2625
point_238	117.020625 39.2625
point_239	117.078542 39.2625
point_240	117.136458 39.2625
point_241	117.194375 39.2625
point_242	117.252292 39.2625
point_243	117.310208 39.2625
point_244	117.368125 39.2625
point_245	117.426042 39.2625
point_246	117.483958 39.2625
point_247	117.541875 39.2625
point_248	117.599792 39.2625
point_249	117.657708 39.2625
point_250	117.715625 39.2625
point_251	117.773542 39.2625
point_252	117.831458 39.2625
point_253	117.889375 39.2625
point_254	117.947292 39.2625
point_255	118.005208 39.2625
point_256	118.063125 39.2625
point_257	118.121042 39.2625
point_258	118.178958 39.2625
point_259	118.236875 39.2625
point_260	118.294792 39.2625
point_261	118.352708 39.2625
point_262	118.410625 39.2625
point_263	118.468542 39.2625
point_264	116.499375 39.2175
point_265	116.557292 39.2175
point_266	116.615208 39.2175
point_267	116.673125 39.2175
point_268	116.731042 39.2175
point_269	116.788958 39.2175
point_270	116.846875 39.2175
point_271	116.904792 39.2175
point_272	116.962708 39.2175
point_273	117.020625 39.2175
point_274	117.078542 39.2175
point_275	117.136458 39.2175
point_276	117.194375 39.2175
point_277	117.252292 39.2175
point_278	117.310208 39.2175
point_279	117.368125 39.2175
point_280	117.426042 39.2175
point_281	117.483958 39.2175
point_282	117.541875 39.2175
point_283	117.599792 39.2175
point_284	117.657708 39.2175
point_285	117.715625 39.2175
point_286	117.773542 39.2175
point_287	117.831458 39.2175
point_288	117.889375 39.2175
point_289	117.947292 39.2175
point_290	118.063125 39.2175
point_291	118.121042 39.2175
point_292	118.178958 39.2175
point_293	118.236875 39.2175
point_294	118.294792 39.2175
point_295	118.352708 39.2175
point_296	118.410625 39.2175
point_297	118.468542 39.2175
point_298	116.499375 39.1725
point_299	116.557292 39.1725
point_300	116.615208 39.1725
point_301	116.673125 39.1725
point_302	116.731042 39.1725
point_303	116.788958 39.1725
point_304	116.846875 39.1725
point_305	116.904792 39.1725
point_306	116.962708 39.1725
point_307	117.020625 39.1725
point_308	117.078542 39.1725
point_309	117.136458 39.1725
point_310	117.194375 39.1725
point_311	117.252292 39.1725
point_312	117.310208 39.1725
point_313	117.368125 39.1725
point_314	117.426042 39.1725
point_315	117.483958 39.1725
point_316	117.541875 39.1725
point_317	117.599792 39.1725
point_318	117.657708 39.1725
point_319	117.715625 39.1725
point_320	117.773542 39.1725
point_321	117.831458 39.1725
point_322	118.121042 39.1725
point_323	118.178958 39.1725
point_324	118.236875 39.1725
point_325	118.294792 39.1725
point_326	118.352708 39.1725
point_327	118.410625 39.1725
point_328	118.468542 39.1725
point_329	118.526458 39.1725
point_330	116.499375 39.1275
point_331	116.557292 39.1275
point_332	116.615208 39.1275
point_333	116.673125 39.1275
point_334	116.731042 39.1275
point_335	116.788958 39.1275
point_336	116.846875 39.1275
point_337	116.904792 39.1275
point_338	116.962708 39.1275
point_339	117.020625 39.1275
point_340	117.078542 39.1275
point_341	117.136458 39.1275
point_342	117.194375 39.1275
point_343	117.252292 39.1275
point_344	117.310208 39.1275
point_345	117.368125 39.1275
point_346	117.426042 39.1275
point_347	117.483958 39.1275
point_348	117.541875 39.1275
point_349	117.599792 39.1275
point_350	117.657708 39.1275
point_351	117.715625 39.1275
point_352	117.773542 39.1275
point_353	118.178958 39.1275
point_354	118.236875 39.1275
point_355	118.294792 39.1275
point_356	118.352708 39.1275
point_357	118.410625 39.1275
point_358	118.468542 39.1275
point_359	118.526458 39.1275
point_360	116.557292 39.0825
point_361	116.615208 39.0825
point_362	116.673125 39.0825
point_363	116.731042 39.0825
point_364	116.788958 39.0825
point_365	116.846875 39.0825
point_366	116.904792 39.0825
point_367	116.962708 39.0825
point_368	117.020625 39.0825
point_369	117.078542 39.0825
point_370	117.136458 39.0825
point_371	117.194375 39.0825
point_372	117.252292 39.0825
point_373	117.310208 39.0825
point_374	117.368125 39.0825
point_375	117.426042 39.0825
point_376	117.483958 39.0825
point_377	117.541875 39.0825
point_378	117.599792 39.0825
point_379	117.657708 39.0825
point_380	117.715625 39.0825
point_381	117.773542 39.0825
point_382	118.236875 39.0825
point_383	118.294792 39.0825
point_384	118.352708 39.0825
point_385	118.410625 39.0825
point_386	118.468542 39.0825
point_387	116.557292 39.0375
point_388	116.615208 39.0375
point_389	116.673125 39.0375
point_390	116.731042 39.0375
point_391	116.788958 39.0375
point_392	116.846875 39.0375
point_393	116.904792 39.0375
point_394	116.962708 39.0375
point_395	117.020625 39.0375
point_396	117.078542 39.0375
point_397	117.136458 39.0375
point_398	117.194375 39.0375
point_399	117.252292 39.0375
point_400	117.310208 39.0375
point_401	117.368125 39.0375
point_402	117.426042 39.0375
point_403	117.483958 39.0375
point_404	117.541875 39.0375
point_405	117.599792 39.0375
point_406	117.657708 39.0375
point_407	117.715625 39.0375
point_408	117.773542 39.0375
point_409	118.352708 39.0375
point_410	118.410625 39.0375
point_411	118.468542 39.0375
point_412	118.526458 39.0375
point_413	116.557292 38.9925
point_414	116.615208 38.9925
point_415	116.673125 38.9925
point_416	116.731042 38.9925
point_417	116.788958 38.9925
point_418	116.846875 38.9925
point_419	116.904792 38.9925
point_420	116.962708 38.9925
point_421	117.020625 38.9925
point_422	117.078542 38.9925
point_423	117.136458 38.9925
point_424	117.194375 38.9925
point_425	117.252292 38.9925
point_426	117.310208 38.9925
point_427	117.368125 38.9925
point_428	117.426042 38.9925
point_429	117.483958 38.9925
point_430	117.541875 38.9925
point_431	117.599792 38.9925
point_432	117.657708 38.9925
point_433	117.715625 38.9925
point_434	117.773542 38.9925
point_435	118.410625 38.9925
point_436	118.468542 38.9925
point_437	118.526458 38.9925
point_438	116.557292 38.9475
point_439	116.615208 38.9475
point_440	116.673125 38.9475
point_441	116.731042 38.9475
point_442	116.788958 38.9475
point_443	116.846875 38.9475
point_444	116.904792 38.9475
point_445	116.962708 38.9475
point_446	117.020625 38.9475
point_447	117.078542 38.9475
point_448	117.136458 38.9475
point_449	117.194375 38.9475
point_450	117.252292 38.9475
point_451	117.310208 38.9475
point_452	117.368125 38.9475
point_453	117.426042 38.9475
point_454	117.483958 38.9475
point_455	117.541875 38.9475
point_456	117.599792 38.9475
point_457	117.657708 38.9475
point_458	117.715625 38.9475
point_459	117.773542 38.9475
point_460	117.831458 38.9475
point_461	118.526458 38.9475
point_462	116.557292 38.9025
point_463	116.615208 38.9025
point_464	116.673125 38.9025
point_465	116.731042 38.9025
point_466	116.788958 38.9025
point_467	116.846875 38.9025
point_468	116.904792 38.9025
point_469	116.962708 38.9025
point_470	117.020625 38.9025
point_471	117.078542 38.9025
point_472	117.136458 38.9025
point_473	117.194375 38.9025
point_474	117.252292 38.9025
point_475	117.310208 38.9025
point_476	117.368125 38.9025
point_477	117.426042 38.9025
point_478	117.483958 38.9025
point_479	117.541875 38.9025
point_480	117.599792 38.9025
point_481	117.657708 38.9025
point_482	117.715625 38.9025
point_483	117.773542 38.9025
point_484	117.831458 38.9025
point_485	116.615208 38.8575
point_486	116.673125 38.8575
point_487	116.731042 38.8575
point_488	116.788958 38.8575
point_489	116.846875 38.8575
point_490	116.904792 38.8575
point_491	116.962708 38.8575
point_492	117.020625 38.8575
point_493	117.078542 38.8575
point_494	117.136458 38.8575
point_495	117.194375 38.8575
point_496	117.252292 38.8575
point_497	117.310208 38.8575
point_498	117.368125 38.8575
point_499	117.426042 38.8575
point_500	117.483958 38.8575
point_501	117.541875 38.8575
point_502	117.599792 38.8575
point_503	117.657708 38.8575
point_504	117.715625 38.8575
point_505	116.615208 38.8125
point_506	116.673125 38.8125
point_507	116.731042 38.8125
point_508	116.788958 38.8125
point_509	116.846875 38.8125
point_510	116.904792 38.8125
point_511	116.962708 38.8125
point_512	117.020625 38.8125
point_513	117.078542 38.8125
point_514	117.136458 38.8125
point_515	117.194375 38.8125
point_516	117.252292 38.8125
point_517	117.310208 38.8125
point_518	117.368125 38.8125
point_519	117.426042 38.8125
point_520	117.483958 38.8125
point_521	117.541875 38.8125
point_522	117.599792 38.8125
point_523	116.615208 38.7675
point_524	116.673125 38.7675
point_525	116.731042 38.7675
point_526	116.788958 38.7675
point_527	116.846875 38.7675
point_528	116.904792 38.7675
point_529	116.962708 38.7675
point_530	117.020625 38.7675
point_531	117.078542 38.7675
point_532	117.136458 38.7675
point_533	117.194375 38.7675
point_534	117.252292 38.7675
point_535	117.310208 38.7675
point_536	117.368125 38.7675
point_537	117.426042 38.7675
point_538	117.483958 38.7675
point_539	117.541875 38.7675
point_540	116.615208 38.7225
point_541	116.673125 38.7225
point_542	116.731042 38.7225
point_543	116.788958 38.7225
point_544	116.846875 38.7225
point_545	116.904792 38.7225
point_546	116.962708 38.7225
point_547	117.020625 38.7225
point_548	117.078542 38.7225
point_549	117.136458 38.7225
point_550	117.194375 38.7225
point_551	117.252292 38.7225
point_552	117.310208 38.7225
point_553	117.368125 38.7225
point_554	117.426042 38.7225
point_555	117.483958 38.7225
point_556	117.541875 38.7225
point_557	117.599792 38.7225
point_558	117.715625 38.7225
point_559	116.615208 38.6775
point_560	116.673125 38.6775
point_561	116.731042 38.6775
point_562	116.788958 38.6775
point_563	116.846875 38.6775
point_564	116.904792 38.6775
point_565	116.962708 38.6775
point_566	117.020625 38.6775
point_567	117.078542 38.6775
point_568	117.136458 38.6775
point_569	117.194375 38.6775
point_570	117.252292 38.6775
point_571	117.310208 38.6775
point_572	117.368125 38.6775
point_573	117.426042 38.6775
point_574	117.483958 38.6775
point_575	117.541875 38.6775
point_576	117.599792 38.6775
point_577	116.673125 38.6325
point_578	116.731042 38.6325
point_579	116.788958 38.6325
point_580	116.846875 38.6325
point_581	116.904792 38.6325
point_582	116.962708 38.6325
point_583	117.020625 38.6325
point_584	117.078542 38.6325
point_585	117.136458 38.6325
point_586	117.194375 38.6325
point_587	117.252292 38.6325
point_588	117.310208 38.6325
point_589	117.368125 38.6325
point_590	117.426042 38.6325
point_591	117.483958 38.6325
point_592	117.541875 38.6325
point_593	117.599792 38.6325
point_594	116.673125 38.5875
point_595	116.731042 38.5875
point_596	116.788958 38.5875
point_597	116.846875 38.5875
point_598	116.904792 38.5875
point_599	116.962708 38.5875
point_600	117.020625 38.5875
point_601	117.078542 38.5875
point_602	117.136458 38.5875
point_603	117.194375 38.5875
point_604	117.252292 38.5875
point_605	117.310208 38.5875
point_606	117.368125 38.5875
point_607	117.426042 38.5875
point_608	117.483958 38.5875
point_609	117.541875 38.5875
point_610	117.599792 38.5875
point_611	116.673125 38.5425
point_612	116.731042 38.5425
point_613	116.788958 38.5425
point_614	116.846875 38.5425
point_615	116.904792 38.5425
point_616	116.962708 38.5425
point_617	117.020625 38.5425
point_618	117.078542 38.5425
point_619	117.136458 38.5425
point_620	117.194375 38.5425
point_621	117.252292 38.5425
point_622	117.310208 38.5425
point_623	117.368125 38.5425
point_624	117.426042 38.5425
point_625	117.483958 38.5425
point_626	117.541875 38.5425
point_627	117.599792 38.5425
point_628	116.673125 38.4975
point_629	116.731042 38.4975
point_630	116.788958 38.4975
point_631	116.846875 38.4975
point_632	116.904792 38.4975
point_633	116.962708 38.4975
point_634	117.020625 38.4975
point_635	117.078542 38.4975
point_636	117.136458 38.4975
point_637	117.194375 38.4975
point_638	117.252292 38.4975
point_639	117.310208 38.4975
point_640	117.368125 38.4975
point_641	116.673125 38.4525
point_642	116.731042 38.4525
point_643	116.788958 38.4525
point_644	116.846875 38.4525
