Point	Latitude	Longitude	Category	PCH_time	Displacement
Point_100	117.136458	39.4425	C1	2022.5	None
Point_101	117.194375	39.4425	C1	2022.5	None
Point_10	118.178958	39.6675	C2	2022.821411132812	-43.41208070307589
Point_102	117.252292	39.4425	C1	2019.71728515625	-63.74720827156603
Point_103	117.310208	39.4425	C1	2019.668090820312	-87.71549896803002
Point_104	117.368125	39.4425	C1	2022.5	None
Point_105	117.426042	39.4425	C3	2025.5	None
Point_106	117.483958	39.4425	C1	2021.966430664062	-48.42302584586538
Point_107	117.541875	39.4425	C4	9999	None
Point_108	117.599792	39.4425	C4	9999	None
Point_109	117.657708	39.4425	C4	9999	None
Point_110	117.715625	39.4425	C4	9999	None
Point_111	117.773542	39.4425	C3	2025.5	None
Point_11	118.236875	39.6675	C2	2022.5	None
Point_1	118.236875	39.7125	C2	2020.555786132812	-53.4181728642201
Point_112	117.831458	39.4425	C1	2021.769287109375	-55.392551104175865
Point_113	117.889375	39.4425	C1	2022.5	None
Point_114	117.947292	39.4425	C1	2020.70361328125	-54.95964506334278
Point_115	118.005208	39.4425	C4	9999	None
Point_116	118.063125	39.4425	C1	2022.5	None
Point_117	118.121042	39.4425	C3	2025.5	None
Point_118	118.178958	39.4425	C3	2025.5	None
Point_119	118.236875	39.4425	C1	2021.506469726562	-168.77304233388998
Point_120	118.294792	39.4425	C1	2022.5	None
Point_121	118.352708	39.4425	C3	2025.5	None
Point_12	118.294792	39.6675	C1	2020.52294921875	-73.7614432613677
Point_122	118.410625	39.4425	C4	9999	None
Point_123	116.441458	39.3975	C3	2025.5	None
Point_124	116.499375	39.3975	C4	9999	None
Point_125	116.557292	39.3975	C4	9999	None
Point_126	116.615208	39.3975	C4	9999	None
Point_127	116.673125	39.3975	C4	9999	None
Point_128	116.731042	39.3975	C4	9999	None
Point_129	116.788958	39.3975	C4	9999	None
Point_130	116.846875	39.3975	C4	9999	None
Point_131	116.904792	39.3975	C4	9999	None
Point_13	118.352708	39.6675	C4	9999	None
Point_132	116.962708	39.3975	C3	2025.5	None
Point_133	117.020625	39.3975	C3	2025.5	None
Point_134	117.078542	39.3975	C1	2022.5	None
Point_135	117.136458	39.3975	C3	2025.5	None
Point_136	117.194375	39.3975	C1	2022.5	None
Point_137	117.252292	39.3975	C1	2021.769287109375	-110.76477208457656
Point_138	117.310208	39.3975	C1	2021.835083007812	-93.00556726078536
Point_139	117.368125	39.3975	C1	2021.80224609375	-78.37941616458122
Point_140	117.426042	39.3975	C1	2022.5	None
Point_141	117.483958	39.3975	C3	2025.5	None
Point_14	118.410625	39.6675	C2	2021.440795898438	-54.600095973442414
Point_142	117.541875	39.3975	C1	2022.5	None
Point_143	117.599792	39.3975	C4	9999	None
Point_144	117.657708	39.3975	C3	2025.5	None
Point_145	117.715625	39.3975	C1	2020.42431640625	-61.23475079653528
Point_146	117.773542	39.3975	C3	2025.5	None
Point_147	117.831458	39.3975	C1	2021.670776367188	-98.39008584093504
Point_148	117.889375	39.3975	C1	2021.4736328125	-133.40125619380206
Point_149	117.947292	39.3975	C1	2022.5	None
Point_150	118.005208	39.3975	C1	2022.5	None
Point_151	118.063125	39.3975	C1	2022.5	None
Point_15	117.599792	39.6225	C4	9999	None
Point_152	118.121042	39.3975	C4	9999	None
Point_153	118.178958	39.3975	C1	2020.654296875	-191.8554447367764
Point_154	118.236875	39.3975	C3	2025.5	None
Point_155	118.294792	39.3975	C1	2022.5	None
