Point	Latitude	Longitude	Category	PCH_time	Displacement
Point_104	117.368125	39.4425	C1	2022.5	None
Point_101	117.194375	39.4425	C1	2022.5	None
Point_106	117.483958	39.4425	C1	2021.966430664062	-48.42302584586538
Point_102	117.252292	39.4425	C1	2019.71728515625	-63.74720827156603
Point_108	117.599792	39.4425	C4	9999	None
Point_103	117.310208	39.4425	C1	2019.668090820312	-87.71549896803002
Point_10	118.178958	39.6675	C2	2022.821411132812	-43.41208070307589
Point_105	117.426042	39.4425	C3	2025.5	None
Point_110	117.715625	39.4425	C4	9999	None
Point_111	117.773542	39.4425	C3	2025.5	None
Point_112	117.831458	39.4425	C1	2021.769287109375	-55.392551104175865
Point_113	117.889375	39.4425	C1	2022.5	None
Point_114	117.947292	39.4425	C1	2020.70361328125	-54.95964506334278
Point_115	118.005208	39.4425	C4	9999	None
Point_116	118.063125	39.4425	C1	2022.5	None
Point_117	118.121042	39.4425	C3	2025.5	None
Point_118	118.178958	39.4425	C3	2025.5	None
Point_119	118.236875	39.4425	C1	2021.506469726562	-168.77304233388998
Point_11	118.236875	39.6675	C2	2022.5	None
Point_120	118.294792	39.4425	C1	2022.5	None
Point_12	118.294792	39.6675	C1	2020.52294921875	-73.7614432613677
Point_134	117.078542	39.3975	C1	2022.5	None
Point_136	117.194375	39.3975	C1	2022.5	None
Point_137	117.252292	39.3975	C1	2021.769287109375	-110.76477208457656
Point_138	117.310208	39.3975	C1	2021.835083007812	-93.00556726078536
Point_139	117.368125	39.3975	C1	2021.80224609375	-78.37941616458122
Point_140	117.426042	39.3975	C1	2022.5	None
Point_142	117.541875	39.3975	C1	2022.5	None
Point_145	117.715625	39.3975	C1	2020.42431640625	-61.23475079653528
Point_147	117.831458	39.3975	C1	2021.670776367188	-98.39008584093504
Point_148	117.889375	39.3975	C1	2021.4736328125	-133.40125619380206
Point_149	117.947292	39.3975	C1	2022.5	None
Point_14	118.410625	39.6675	C2	2021.440795898438	-54.600095973442414
Point_150	118.005208	39.3975	C1	2022.5	None
Point_151	118.063125	39.3975	C1	2022.5	None
Point_153	118.178958	39.3975	C1	2020.654296875	-191.8554447367764
Point_154	118.236875	39.3975	C3	2025.5	None
Point_157	118.410625	39.3975	C3	2025.5	None
Point_168	117.020625	39.3525	C1	2019.71728515625	-160.1620913088633
Point_169	117.078542	39.3525	C1	2019.306640625	-150.03954181374888
Point_16	117.657708	39.6225	C1	2019.71728515625	-39.06946151545392
Point_170	117.136458	39.3525	C1	2019.668090820312	-133.3933016244248
Point_171	117.194375	39.3525	C1	2022.5	None
Point_172	117.252292	39.3525	C1	2019.71728515625	-72.72160118842532
Point_173	117.310208	39.3525	C1	2022.5	None
Point_174	117.368125	39.3525	C1	2022.065673828125	-114.14486605810852
Point_175	117.426042	39.3525	C1	2022.5	None
Point_183	117.889375	39.3525	C1	2020.555786132812	-111.508473338775
Point_185	118.005208	39.3525	C1	2021.440795898438	-255.0386079696468
Point_18	117.773542	39.6225	C2	2017.695434570312	-6.900992267525483
Point_190	118.294792	39.3525	C2	2017.695434570312	-77.68100147624881
Point_1	118.236875	39.7125	C2	2020.555786132812	-53.4181728642201
Point_204	117.078542	39.3075	C1	2020.70361328125	-174.84591481468226
Point_205	117.136458	39.3075	C1	2019.71728515625	-144.37492199216447
Point_209	117.368125	39.3075	C1	2020.7529296875	-58.74572203255889
Point_206	117.194375	39.3075	C1	2021.013671875	-164.16791550377508
